Nom,Date de création,Modifié,Étiquettes
01 // la contrainte budgétaire,"February 27, 2022 1:46 AM","June 2, 2023 4:42 PM",
02 // les préférences,"February 27, 2022 1:46 AM","June 2, 2023 4:42 PM",
03 // l'utilité,"February 27, 2022 1:47 AM","June 2, 2023 4:42 PM",
04 // le choix optimal,"February 27, 2022 1:47 AM","June 2, 2023 4:42 PM",
05 // la demande,"February 27, 2022 1:47 AM","June 2, 2023 4:42 PM",
06 // l'équation de Slutsky,"April 3, 2022 8:13 PM","June 2, 2023 4:42 PM",
07 // le revenu endogène,"April 4, 2022 2:10 AM","June 2, 2023 4:42 PM",
08 // les choix intertemporels,"April 25, 2022 8:51 PM","June 2, 2023 4:42 PM",
09 // le surplus du consommateur,"April 25, 2022 11:00 PM","June 2, 2023 4:42 PM",
10 // la demande du marché,"April 26, 2022 3:24 AM","January 13, 2023 4:39 PM",
11 // l'équilibre,"April 28, 2022 4:34 AM","January 13, 2023 4:39 PM",
12 // la technologie,"April 28, 2022 7:20 AM","January 13, 2023 4:39 PM",
13 // la maximisation du profit,"April 28, 2022 2:06 PM","January 13, 2023 4:39 PM",
14 // la minimisation du coût,"April 28, 2022 4:16 PM","January 13, 2023 4:39 PM",
15 // les courbes de coût,"April 28, 2022 5:28 PM","January 13, 2023 4:39 PM",
16 // l'offre de la firme concurrentielle,"April 28, 2022 6:29 PM","October 22, 2022 7:36 PM",
